speaker,dialogue,author,title,comedia
Belisa,"Temerario pensamiento, que teniendo el mundo en poco junto a la luna, a ser loco, sobre las alas del viento colocastes vuestro asiento, ¿qué desdicha, qué cuidado hoy os ha puesto en estado que habéis tan hermosas plumas entre las blancas espumas del mar de amor sepultado? Sale vestida la nave de jarcias y de banderas, con las velas tan ligeras que el viento piensa que es ave; mas el de popa, suave, vuelve con fácil mudanza en huracán la bonanza, por que no pueda ninguna del rigor de la fortuna asegurar la esperanza. Florece un árbol temprano cuando el ruiseñor suspira, la primavera le mira llena de flores la mano; mas llega el hielo tirano y, con intensos rigores, los pimpollos y colores cubre de tristeza y luto, porque hasta tener el fruto no están seguras las flores. Por más que en el nido esconda el ave sus pajarillos, como los fuertes castillos con su cava, muro y ronda, dispara el pastor la honda y con violencia importuna, sin dejar pluma ninguna, le arroja piedra villana; que no hay resistencia humana al golpe de la fortuna. Nave en el mar parecía mi libertad en amor, árbol vestido de flor mi locura y bizarría, nido que el ave tejía era mi seguro olvido; mas vino amor atrevido y, con el galán Cardona, puso al pie de su corona la nave, el árbol y el nido. Vencedor de estos despojos me mata sin ser culpado; que no sabe mi cuidado aunque le dicen mis ojos con amorosos enojos. Soy mariposa en llegarme a la llama y retirarme, y tanto amor me desvela, que doy tornos a la vela y no acabo de quemarme.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Finea,"Sin quitarme el manto vengo, por darte presto el recado.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Belisa,"¿De prisa? Será desdicha, que nunca vienen despacio.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Finea,"Hallé la casa -que fue en Madrid nuevo milagro, que no sabe del segundo quien vive el primero cuarto-, dile el papel, abrazome, diome este doblón de a cuatro...",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Belisa,¿Oro tiene?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Finea,¿Por qué no?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Belisa,Que no se le dio me espanto a la señora Lucinda. Muestra.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Finea,Toma.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Belisa,Yo le guardo por ser la primera prenda que tengo suya.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
Finea,"Es cuidado que te perdonara yo, y prenda que él no te ha dado no merece estimación.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Ii
