speaker,dialogue,author,title,comedia
Fernando,No hay desdén que no se rinda con servir y porfiar.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,Cansado estoy de ayudar desatinos de Lucinda.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Fernando,"Si Belisa ha conocido, con el ingenio mayor del mundo, que ha sido amor el de Lucinda fingido, no es prudencia darle celos con ella. Mejor sería conquistar su valentía con proseguir tus desvelos. Lucinda toma venganza de don Juan con sus mentiras; si la ayudas, ¿qué te admiras de vivir sin esperanza?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"Tienes razón. Ya no quiero celos. Servirla es mejor, con amor y más amor, con dinero y más dinero. Dar celos suele importar, esto después de quererme, para despertar quien duerme, pero no para obligar. No hay armas, para vencer una mujer desdeñosa, como otra mujer, ni hay cosa que tenga tanto poder como aquella información de una amiga con su amiga: esta las rinde y obliga. Como de un género son, saben, para herir, tentar la flaqueza de la espada. ¿No has visto a Eva pintada y que la viene a engañar con el rostro de mujer que la culebra tomó? Pues este ejemplar les dio para engañar y vencer a mujeres con mujeres.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Fernando,"Celia con Belisa vive estos días. Apercibe, si obligar a Celia quieres, aquel gran conquistador de voluntades que llaman oro, y verás si te aman.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"Ya sabe Celia mi amor, y me ha prometido hacer cuanto pudiere por mí.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Fernando,Dos hombres vienen aquí.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"Galanes deben de ser de Lucinda, que le rondan la puerta. Tarde han llegado, pues dos veces he llamado y no hay orden que respondan.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"Pienso que has perdido el seso, y no debo de engañarme.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,Todo lo que no es matarme no lo tengas por exceso; y ansí con tanta violencia amor mi cuerpo desalma que no hay potencia en el alma que viva su misma esencia.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"¿Tú a la puerta de Lucinda con estos necios disfraces? Considera lo que haces, por más que el amor te rinda; que si nos hallan ansí, nos habemos de perder.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"En viendo que soy mujer, ¿qué podrán pensar de mí? Porque si agora me dan mil muertes o mil enojos, tengo de ver con los ojos lo que me niega don Juan; y es justo que ver intenten lo que temen y desean, porque, como ellos lo vean, no dirá el alma que mienten.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"Cuantas has hecho hasta aquí bien pueden ser bizarrías: estas no, porque porfías contra tu honor.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,¡Ay de mí!,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Fernando,"Paréceme que has tomado, señor, el medio mejor.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"Celia, dinero y amor remediarán mi cuidado.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Fernando,"Da lugar a estos galanes, que no llegan a la puerta por nosotros.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,Verla abierta merecen los ademanes con que miran de Lucinda las rejas.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Fernando,"Vidas perdonan: valientes son, que pregonan lo que se precia de linda.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"Si con ella está don Juan, y te escribió aquel papel de que se casa con él, o por ventura lo están, ¿habemos de estar aquí hasta que nos halle el alba?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Ese papel fue la salva del veneno que bebí; que no hay veneno más fuerte que las letras de un papel, pues tantas veces en él bebe la vida la muerte. Díceme que se desposa mañana y que no hay lugar para poderla acabar una gala, por costosa, de soberbia guarnición; que yo le preste un vestido; bachillería que ha sido mi locura y perdición. ¿Hay tal modo de pudrir? Que con mis galas se quiera casar...",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"Gente viene, espera.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"¿Qué, sino solo morir?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Yerras, por Dios, en intentar hablalla.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Pues, Tello, ¿qué he de hacer cuando imagino que ha hecho algún celoso desatino, aunque Belisa calla, por donde la he perdido, y me ha tratado con rigor tan cruel que me ha cerrado las puertas y ventanas, de tal suerte que piensa, retirada y hecha fuerte, que puede entrar mi amor a ver su olvido en átomo del aire convertido?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Como la sirve el conde, ser podría que se enojase, y nunca el que es prudente hizo pesar al hombre poderoso, por no dar en sus manos algún día; que el desigual lo que es posible intente tengo por aforismo provechoso.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"¡Oh, qué necio Catón! ¡Oh, qué grosero Séneca! Yo no quiero quitar su gusto al conde sino hablar a Lucinda.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Si responde como mujer celosa y agraviada, vendrá a parar en «fuese, y no hubo nada».",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Finea, ¿no conoces estos galanes?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"Quedo, no des voces.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,¡No me engañaba yo! ¡Pierdo el sentido!,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"Parece que no llama de marido; que si marido fuera, la puerta con la aldaba deshiciera.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,No habrá tomado posesión. Agora llamará de galán.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"Mira, señora, que no es bien que te vea.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Yo callaré; más no podré, Finea.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Otavio,"Julio, hasta agora me duró la herida. Curela, en fin; mas no curé el agravio.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Julio,Esperando ocasión se venga el sabio.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Otavio,"Este es don Juan. Llamando está a la puerta de Lucinda... Pues no ha de verla abierta: yo no vengo a reñir, a matar vengo.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,El conde es este. Gran sospecha tengo que te viene a matar con sus criados.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Tello, no hay más: morir como soldados.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,Cuatro son; dos me caben. No hayas miedo que me divida de tu lado un dedo.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Pues, Tello, aquí veré si eres valiente.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,A matar a don Juan viene esta gente. A su lado me pongo.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,Y yo te sigo.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Finea, defender al enemigo fue siempre gran fineza y bizarría.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Otavio,"¡Ah, caballeros! Esa puerta es mía.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Pues pase, si pudiere.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Julio,"¡Otavio, tente! Cuatro, y los dos con escopetas.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Otavio,Creo que burlan mis desdichas mi deseo.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Julio,Vuélvete y no acometas.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Otavio,"¿En Madrid escopetas? ¡Caso, por Dios, terrible!",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Julio,A quien quiere matar todo es posible.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,Todos se han ido con temor del plomo.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,La vida debo a aquestos caballeros.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Huyeron los villanos escuderos. De que el conde no fue, sospechas tomo.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Señores, si es posible conoceros, sepa a quién debo defender mi vida de tantos enemigos perseguida.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,Volvieron las espaldas sin hablarte ni quitar los embozos.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,¿Por qué parte llegaron estos hombres? ¿Si han bajado del cielo en mi favor?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Más del tejado; porque si ángeles fueran, sin escopetas pienso que vinieran, que no las hay allá.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,Necia porfía: truenos y rayos son artillería.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
