speaker,dialogue,author,title,comedia
Isabela,"Duque Octavio, por aquí podrás salir más seguro.",Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,"¿Mis glorias serán verdades, promesas y ofrecimientos, regalos y cumplimientos, voluntades y amistades?",Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,Quiero sacar una luz.,Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,Para que el alma dé fe del bien que llego a gozar.,Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,"¡Ah, cielo! ¿Quién eres, hombre?",Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,¿Que no eres el duque?,Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,¡Ah de palacio!,Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,"No me detengas, villano. ¡Ah, del rey! ¡Soldados, gente!",Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,¿Qué es esto?,Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,¡El rey! ¡Ay triste!,Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,¿Quién eres?,Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,"Esto en prudencia consiste. ¡Ah, de mi guarda! Prendé a este hombre.",Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,"¡Ay, perdido honor!",Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,"Don Pedro Tenorio, a vos esta prisión os encargo. Siendo corto, andad vos largo: mirad quién son estos dos. Y con secreto ha de ser, que algún mal suceso creo, porque si yo aquí lo veo no me queda más que ver. (Vase.)",Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,¿Murió?,Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,¿De qué forma?,Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,¿Qué dices?,Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,"¡Ah, pobre honor! Si eres alma del hombre, ¿por qué te dejan en la mujer inconstante, si es la misma ligereza? ¡Hola!",Tirso De Molina,El Burlador De Sevilla,Jornada i
Criado,Gran señor.,Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,Traed delante de mi presencia esa mujer.,Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,¿Con qué ojos veré al Rey?,Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,"Idos y guardad la puerta de esa cuadra. Di, mujer, ¿qué rigor, qué airada estrella te incitó, que en mi palacio, con hermosura y soberbia, profanases sus umbrales?",Tirso De Molina,El Burlador De Sevilla,Jornada i
Isabela,Señor...,Tirso De Molina,El Burlador De Sevilla,Jornada i
Rey,"Calla, que la lengua no podrá dorar el yerro que has cometido en mi ofensa. ¿Aquél era el duque Octavio?",Tirso De Molina,El Burlador De Sevilla,Jornada i
