speaker,dialogue,author,title,comedia
Batricio,"Celos, reloj de cuidados que a todas las horas dais tormentos con que matáis, aunque dais desconcertados; celos, del vivir desprecios, con que ignorancias hacéis, pues todo lo que tenéis de ricos tenéis de necios, dejadme de atormentar, pues es cosa tan sabida que cuando amor me da vida la muerte me queréis dar. ¿Qué me queréis, caballero, que me atormentáis ansí? Bien dije, cuando le vi en mis bodas, «¡Mal agüero!» ¿No es bueno que se sentó a cenar con mi mujer y a mí en el plato meter la mano no me dejó? Pues cada vez que quería metella la desviaba, diciendo a cuanto tomaba, «¡Grosería, grosería!». Pues llegándome a quejar a algunos, me respondían y con risa me decían: «No tenéis de qué os quejar, eso no es cosa que importe; no tenéis de qué temer; callad, que debe de ser uso de allá de la corte». ¡Buen uso, trato extremado! ¡Mas no se usará en Sodoma! ¡Que otro con la novia coma, y que ayune el desposado! Pues el otro bellacón a cuanto comer quería, «¿Esto no come?», decía; «No tenéis, señor, razón», y de delante al momento me lo quitaba. Corrido estó; bien sé yo que ha sido culebra y no casamiento. Ya no se puede sufrir ni entre cristianos pasar, y acabando de cenar con los dos, ¿mas que a dormir se ha de ir también, si porfía, con nosotros, y ha de ser el llegar yo a mi mujer, «Grosería, grosería»? Ya viene, no me resisto; aquí me quiero esconder; pero ya no puede ser, que imagino que me ha visto.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Batricio,"Su señoría, ¿qué manda?",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Batricio,[Aparte.] (¿Mas que ha de venir a ser alguna desdicha mía?),Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Batricio,¿Su honor?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Batricio,"[Aparte.] (Manifiesto y claro indicio de lo que he llegado a ver, que si bien no le quisiera, nunca a su casa viniera. Al fin, al fin es mujer.)",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Batricio,"Si tú en mi elección lo pones tu gusto pretendo hacer, que el honor y la mujer son males en opiniones. La mujer en opinión siempre más pierde que gana, que son como la campana, que se estima por el son. Y así es cosa averiguada que opinión viene a perder, cuando cualquiera mujer suena a campana quebrada. No quiero, pues me reduces el bien que mi amor ordena, mujer entre mala y buena, que es moneda entre dos luces. Gózala, señor, mil años, que yo quiero resistir, desengañar y morir, y no vivir con engaños. (Vase.)",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Belisa,"Mira que vendrá tu esposo; entra a desnudarte, Aminta.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,"De estas infelices bodas no sé qué siento, Belisa. Todo hoy mi Batricio ha estado bañado en melancolía, todo en confusión y celos; ¡mirad qué grande desdicha! Di, ¿qué caballero es éste que de mi esposo me priva? La desvergüenza en España se ha hecho caballería. Déjame, que estoy sin seso; déjame, que estoy corrida. ¡Mal hubiese el caballero que mis contentos me priva!",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Belisa,"Calla, que pienso que viene; que nadie en la casa pisa de un desposado, tan recio.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,"Queda a Dios, Belisa mía.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Belisa,Desenójale en los brazos.,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,"¡Plega a los cielos que sirvan mis suspiros de requiebros, mis lágrimas de caricias! (Vanse.)",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Gaseno,"Acompañaros querría, por dalle de esta ventura el parabién a mi hija.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Gaseno,Bien decís; el alma mía en la muchacha os ofrezco. [Vase.],Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Quién llama a Aminta? ¿Es mi Batricio?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,"Pues, ¿quién?",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¡Ay de mí! ¡Yo soy perdida! ¿En mi aposento a estas horas?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,"Volveos, que daré voces. No excedáis la cortesía que a mi Batricio se debe. Ved que hay romanas Emilias en Dos Hermanas también, y hay Lucrecias vengativas.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,"Vete, que vendrá mi esposo.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Desde cuándo?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Quién lo ha tratado?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Y quién nos casó?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Con qué poder?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Sábelo Batricio?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Que me olvida?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Cómo?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,Desvía.,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¡Qué gran mentira!,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,"No sé qué diga; que se encubren tus verdades con retóricas mentiras. Porque si estoy desposada, como es cosa conocida, con Batricio, el matrimonio no se absuelve aunque él desista.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,En Batricio toda fue verdad sencilla.,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,¿Que no me engañas?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,Pues jura que cumplirás la palabra prometida.,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,Jura a Dios que te maldiga si no la cumples.,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,Pues con ese juramento soy tu esposa.,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,Tuya es el alma y la vida.,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Aminta,"A tu voluntad, esposo, la mía desde hoy se inclina; tuya soy.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Isabela,"¡Que me robase el dueño, la prenda que estimaba y más quería! ¡Oh riguroso empeño de la verdad! ¡Oh máscara del día! ¡Noche al fin, tenebrosa, antípoda del sol, del sueño esposa!",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Fabio,"¿De qué sirve, Isabela, el amor en el alma y en los ojos, si amor todo es cautela, y en campos de desdenes causa enojos, si el que se ríe agora en breve espacio desventuras llora? El mar está alterado, y en grave temporal; tiempo se corre. El abrigo han tomado las galeras, duquesa, de la torre que esta playa corona.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Isabela,¿Dónde estamos ahora?,Tirso De Molina,El Burlador De Sevilla,Jornada Iii
Fabio,"En Tarragona. De aquí a poco espacio daremos en Valencia, ciudad bella, del mismo sol palacio. Divertiráste algunos días en ella, y después a Sevilla irás a ver la octava maravilla. Que si a Octavio perdiste, más galán es don Juan, y de notorio solar. ¿De qué estás triste? Conde dicen que es ya don Juan Tenorio, el rey con él te casa, y el padre es la privanza de su casa.",Tirso De Molina,El Burlador De Sevilla,Jornada Iii
