speaker,dialogue,author,title,comedia
Paulo,"¡Dichoso albergue mío, soledad apacible y deleitosa que al calor y al frío me dais posada en esta selva umbrosa donde el huésped se llama o verde hierba o pálida retama! Agora, cuando el alba cubre las esmeraldas de cristales, haciendo al Sol la salva, que de su coche sale por jarales, con manos de luz pura quitando sombras de la noche obscura, salgo de aquesta cueva que en pirámides altos destas peñas naturaleza eleva, y a las errantes nubes hace señas para que noche y día, ya que no hay otra, le haga compañía. Salgo a ver estos cielos, alfombra azul de aquellos pies hermosos. ¿Quién, ¡oh celestes velos!, aquesos tafetanes luminosos rasgar pudiera un poco para ver...? Ay de mí, vuélvome loco. Mas ya que es imposible, y sé cierto, Señor, que me estáis viendo desde ese inacesible trono de luz hermoso, a quien sirviendo están ángeles bellos, más que la luz del Sol hermosos ellos, mil glorias quiero daros por las mercedes que me estáis haciendo, sin saber obligaros. ¿Cuándo yo merecí que del estruendo me sacarais del mundo, que es umbral de las puertas del profundo? ¿Cuándo, Señor divino, podrá mi indignidad agradeceros el volverme al camino, que si yo no conozco, es fuerza el veros, y tras esta vitoria, darme en aquestas selvas tanta gloria? Aquí los pajarillos, amorosas canciones repitiendo, por juncos y tomillos, de vos me acuerdan, y yo estoy diciendo: si esta gloria da el suelo, ¿qué gloria será aquélla que da el cielo? Aquí estos arroyuelos, girones de cristal en campo verde, me quitan mis desvelos y son causa a que de vos me acuerde, tal es el gran contento que infunde al alma su sonoro acento. Aquí silvestres flores el fugitivo tiempo aromatizan, y de varios colores aquesta vega humilde fertilizan. Su belleza me asombra; calle el tapete y berberisca alfombra. Pues con estos regalos, con aquestos contentos y alegrías, bendito seas mil veces, inmenso Dios que tanto bien me ofreces. Aquí pienso seguirte, ya que el mundo dejé para bien mío; aquí pienso servirte, sin que jamás humano desvarío, por más que abra la puerta el mundo a sus engaños, me divierta. Quiero, Señor divino, pediros de rodillas humilmente que en aqueste camino siempre me conservéis piadosamente. Ved que el hombre se hizo de barro, y de barro quebradizo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Pedrisco,"Como si fuera borrico vengo de hierba cargado, de quien el monte está rico. Si esto como, desdichado, triste fin me pronostico. ¿Que he de comer hierba yo, manjar que el cielo crió para brutos animales? Deme el cielo en tantos males paciencia. Cuando me echó mi madre al mundo, decía: «Mis ojos santo te vean, Pedrisco del alma mía». Si esto las madres desean, una suegra y una tía ¿qué desearán? Que aunque el ser santo un hombre es gran ventura, es desdicha el no comer. Perdonad esta locura y este loco proceder, mi Dios, y pues conocida ya mi condición tenéis no os enojéis porque os pida que la hambre me quitéis o no sea santo en mi vida. Y si puede ser, Señor, pues que vuestro inmenso amor todo lo imposible doma, que sea santo y que coma, mi Dios, mejor que mejor. De mi tierra me sacó Paulo, diez años habrá, y a aqueste monte apartó; él en una cueva está, y en otra cueva estoy yo. Aquí penitencia hacemos, y sólo hierbas comemos, y a veces nos acordamos de lo mucho que dejamos por lo poco que tenemos. Aquí al sonoro raudal de un despeñado cristal, digo a estos olmos sombríos: «¿Dónde estáis, jamones míos, que no os doléis de mi mal? Cuando yo solía cursar la ciudad y no las peñas -memorias me hacen llorar- de las hambres más pequeñas gran pesar solíais tomar. Erais jamones leales, bien os puedo así llamar, pues merecéis nombres tales, aunque ya de las mortales no tengáis ningún pesar». Mas ya está todo perdido; hierbas comeré afligido, aunque llegue a presumir que algún mayo he de parir por las flores que me comido. Mas Paulo sale de la cueva obscura; entrar quiero en la mía tenebrosa y comerlas allí.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,"¡Qué desventura y qué desgracia cierta, lastimosa! El sueño me venció, viva figura, por lo menos imagen temerosa, de la muerte cruel, y al fin rendido, la devota oración puse en olvido. Siguiose luego al sueño otro, de suerte, sin duda, que a mi Dios tengo enojado, si no es que acaso el enemigo fuerte haya aquesta ilusión representado. Siguiose al fin, ay Dios, de ver la muerte. ¡Qué espantosa figura! Ay, desdichado, si el verla en sueños causa tal quimera, el que vivo la ve, ¿qué es lo que espera? Tirome el golpe con el brazo diestro; no cortó la guadaña; el arco toma: la flecha en el derecho, y el siniestro el arco mismo que altiveces doma. Tirome al corazón; yo, que me muestro al golpe herido, porque al cuerpo coma la madre tierra como a su despojo, desencarcelo el alma, el cuerpo arrojo. Salió el alma en un vuelo, en un instante vi de Dios la presencia. ¡Quién pudiera no verle entonces! ¡Qué cruel semblante, resplandeciente espada y justiciera en la derecha mano! Y arrogante, como ya por derecho suyo era, el fiscal de las almas miré a un lado, que aun en ser vitorioso estaba airado. Leyó mis culpas, y mi guarda santa leyó mis buenas obras, y el Justicia Mayor del cielo, que es aquél que espanta de la infernal morada la malicia, las puso en dos balanzas; mas levanta el peso de mi culpa y mi justicia mis obras buenas tanto, que el Juez Santo me condena a los reinos del espanto. Con aquella fatiga y aquel miedo desperté, aunque temblando, y no vi nada si no es mi culpa, y tan confuso quedo, que si no es a mi suerte desdichada, o traza del contrario, ardid o enredo, que vibra contra mí su ardiente espada, no sé a qué lo atribuya. Vos, Dios santo, me declarad la causa deste espanto. ¿Heme de condenar, mi Dios divino, como este sueño dice, o he de verme en el sagrado alcázar cristalino? Aqueste bien, Señor, habéis de hacerme: ¿qué fin he de tener? Pues un camino sigo tan bueno, no queráis tenerme en esta confusión, Señor eterno: ¿he de ir a vuestro cielo o al infierno? Treinta años de edad tengo, Señor mío, y los diez he gastado en el desierto, y si viviera un siglo, un siglo fío que lo mismo ha de ser; esto os advierto. Si esto cumplo, Señor, con fuerza y brío, ¿qué fin he de tener? Lágrimas vierto. Respondedme, Señor, Señor eterno. ¿He de ir a vuestro cielo o al infierno?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Demonio,"Diez años ha que persigo a este monje en el desierto, recordándole memorias y pasados pensamientos, y siempre le he hallado firme como un gran peñasco opuesto. Hoy duda en su fe, que es duda de la fe lo que hoy ha hecho, porque es la fe en el cristiano que sirviendo a Dios y haciendo buenas obras, ha de ir a gozar dél en muriendo. Éste, aunque ha sido tan santo, duda de la fe, pues vemos que quiere del mismo Dios, estando en duda, saberlo. En la soberbia también ha pecado, caso es cierto; nadie como yo lo sabe, pues por soberbio padezco. Y con la desconfianza le ha ofendido, pues es cierto que desconfía de Dios el que a su fe no da crédito. Un sueño la causa ha sido; y el anteponer un sueño a la fe de Dios, ¿quién duda que es pecado manifiesto? Y así me ha dado licencia el juez más supremo y recto para que con más engaños le incite agora de nuevo. Sepa resistir valiente los combates que le ofrezco, pues supo desconfiar y ser como yo soberbio. Su mal ha de restaurar de la pregunta que ha hecho a Dios, pues a su pregunta mi nuevo engaño prevengo. De ángel tomaré la forma, y responderé a su intento cosas que le han de costar su condenación, si puedo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,"Dios mío, aquesto suplico: ¿salvareme, Dios inmenso? ¿Iré a gozar vuestra gloria? Que me respondáis espero.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Demonio,"Dios, Paulo, te ha escuchado y tus lágrimas ha visto.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,¡Qué mal el temor resisto! Ciego en mirarlo he quedado.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Demonio,"Me ha mandado que te saque de esa ciega confusión, porque esa vana ilusión de tu contrario se aplaque. Ve a Nápoles y a la puerta que llaman allá del Mar, que es por donde tú has de entrar a ver tu ventura cierta o tu desdicha; verás cerca de allá -estame atento- un hombre...",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,¡Qué gran contento con tus razones me das!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Demonio,"...que Enrico tiene por nombre, hijo del noble Anareto; conocerasle, en efeto, por señas, que es gentil hombre, alto de cuerpo y gallardo. No quiero decirte más, porque apenas llegarás cuando le veas.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,Aguardo lo que le he de preguntar cuando yo le llegue a ver.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Demonio,Sólo una cosa has de hacer.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,¿Qué he de hacer?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Demonio,"Verle y callar, contemplando sus acciones, sus obras y sus palabras.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,En mi pecho ciego labras quimeras y confusiones. ¿Sólo eso tengo de hacer?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Demonio,"Dios que en él repares quiere, porque el fin que aquél tuviere, ese fin has de tener.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,"¡Oh misterio soberano! ¿Quién este Enrico será? Por verle me muero ya. ¡Qué contento estoy, qué ufano! Algún divino varón debe de ser, quién lo duda.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Pedrisco,"Siempre la fortuna ayuda al más flaco corazón. Lindamente he manducado, satisfecho quedo ya.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,¿Pedrisco?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Pedrisco,A esos pies está mi boca.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,A tiempo ha llegado. Los dos habemos de hacer una jornada al momento.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Pedrisco,"Brinco y salto de contento. Mas ¿dónde, Paulo, ha de ser?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,A Nápoles.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Pedrisco,"¿Qué me dice? ¿Y a qué, padre?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,En el camino sabrá un paso peregrino; plegue a Dios que sea felice.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Pedrisco,¿Si seremos conocidos de los amigos de allá?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,"Nadie nos conocerá, que vamos desconocidos en el traje y en la edad.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Pedrisco,Diez años ha que faltamos; seguros pienso que vamos; que es tal la seguridad deste tiempo que en un hora se desconoce el amigo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,Vamos.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Pedrisco,Vaya Dios conmigo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
Paulo,"De contento el alma llora. A obedeceros me aplico, mi Dios; nada me desmaya, pues vos me mandáis que vaya a ver al dichoso Enrico. ¡Gran santo debe de ser! Lleno de contento estoy.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada i
