speaker,dialogue,author,title,comedia
Enrico,"¡Válgate el diablo el juego, qué mal que me has tratado!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"¡Fuego en las manos, fuego! ¿Estáis descomulgadas?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Derechas no las gano; si las trueco, tampoco.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Esta derecha mano me tiene destruido; noventa y nueve escudos he perdido.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,¡Qué poco que duraron! ¿Viste tal cosa? ¿Viste tal multitud de suertes?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Sin blanca estoy; matar a Albano quiero.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,A ayudallos me aplico. ¿No han de robar la casa de Otavio el genovés?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Pues yo seré el primero que suba a sus balcones; en tales ocasiones aventajarme quiero. Ve y diles que aquí aguardo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Pues mientras ellos se tardan y el manto lóbrego aguardan que su remedio ha de ser, quiero un viejo padre ver que aquestas paredes guardan. Cinco años ha que le tengo en una cama tullido, y tanto a estimarle vengo, que, con andar tan perdido, a mi costa le mantengo. De lo que Celia me da o yo por fuerza le quito, traigo lo que puedo acá y su vida solicito, que acabando el curso va. De lo que de noche puedo, varias casas escalando, robar con cuidado o miedo, voy su sustento aumentando, y a veces sin él me quedo. Que esta virtud solamente en mi vida destraída conservo piadosamente, que es deuda al padre debida el serle el hijo obediente. En mi vida le ofendí ni pesadumbre le di; en todo cuanto mandó obediente me halló desde el día en que nací; que aquestas mis travesuras, mocedades y locuras nunca a saberlo llegó; que a saberlas, bien sé yo que -aunque mis entrañas duras de peña, al blanco cristal opuestas, fueron formadas, y mi corazón igual a las fieras encerradas en riscos de pedernal- que las hubiera atajado; pero siempre le he tenido donde, de nadie informado, ni un disgusto ha recebido de tantos como he causado. (Descubre su padre en una silla.) Aquí está, quiérole ver. Durmiendo está al parecer. Padre.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,¡Mi Enrico querido!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Del descuido que he tenido perdón espero tener de vos, padre de mis ojos. ¿Heme tardado?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,"No, hijo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,No os quisiera dar enojos.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,En verte me regocijo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"No el sol por celajes rojos saliendo a dar resplandor a la tiniebla mayor, que es para tan alto bien, parece al día tan bien como vos a mí, señor, que vos para mí sois sol, y los rayos que arrojáis de ese divino arrebol son las canas con que honráis este reino.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,Eres crisol donde la virtud se apura.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,¿Habéis comido?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,Yo no.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,¿Hambre tendréis?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,La ventura de mirarte me quitó la hambre.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"No me asegura, padre mío, esa razón nacida de la afición tan grande que me tenéis; pero agora comeréis, que las dos pienso que son de la tarde, ya la mesa os quiero, padre, poner.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Anareto,De tu cuidado me pesa.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
