speaker,dialogue,author,title,comedia
Pedrisco,¡Buenos estamos los dos!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Qué diablos estás llorando?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,¿Qué diablos he de llorar? ¿No puedo yo lamentar pecados que estoy pagando sin culpa?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Hay vida como ésta?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,¡Cuerpo de Dios con la vida!,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Fáltate aquí la comida? ¿No tienes la mesa puesta a todas horas?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,¿Qué importa que la mesa llegue a ver si no hay nada que comer?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,De necedades acorta.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Alarga tú de comida.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿No sufrirás como yo?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,"Que pague aquél que pecó, es sentencia conocida. Pero yo, que no pequé, ¿por que tengo de pagar?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Pedrisco, ¿quieres callar?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,"Enrico, yo callaré; pero la hambre hará que hable el que muerto se vio, y que calle aquél que habló más que un correo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Que ya piensas que no has de salir de la cárcel?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,"Error fue: Desde el día que aquí entré, he llegado a presumir que hemos de salir los dos...",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Pues de qué estamos turbados?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,"...para ser ajusticiados, si no lo remedia Dios.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,No hayas miedo.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Pedrisco,Bueno está; pero teme el corazón que hemos de danzar sin son.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Mejor la suerte lo hará.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Celia,"No quisiera que las dos, aunque a nadie tengo miedo, fuéramos juntas.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Lidora,"Bien puedo, pues soy criada, ir con vos.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Quedo, que Celia es aquesta.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
